Topic / claim,Report A statement,Report B statement,Status,Severity,Evidence / location in files,Recommended correction
"Project problem and operational bottleneck","Manual work, 16-55 hours per case, CEO ~60% time; limits scalability.","Same operational bottleneck and high variability framing.",MATCH,LOW,"A: Entrega2 text lines 136-145; B: Entrega3 text lines 207-214 and 390-429.","Keep; no material correction needed."
"Overall project objective","Standardize valuation and accelerated growth planning for Adventure Capital.","Same objective, with stronger emphasis on end-to-end system.",MATCH,LOW,"A: lines 136-164, 677-693; B: lines 207-236, 691-701.","Keep B as updated formulation."
"System architecture","Modular Python pipeline: DD, deterministic MILP, valuation, unit economics, stochastic extension, report.","Same, but adds M4 canonical CVaR, CLI workflow, M5 HTML simple.",PARTIAL MATCH,LOW,"A: lines 146-164; B: lines 217-231, 1669-1697.","Explain A as prior version; B as updated state."
"Input data source","Configuration/instance-based flow, formalized data inputs.","YAML instance input and CLI filesystem registry.",PARTIAL MATCH,LOW,"A: lines 1200-1222; B: lines 217-218, 1671-1697; repo: configs/base.yaml, workflow_registry.py.","If both reports remain referenced, note B supersedes A with CLI registry."
"Due Diligence gate semantics","Structural blocks; major allows stochastic diagnostic; minor warning; warning final.","Table 7.3 says major blocks M4, minor runs warning; however earlier B §7.2 still says major allows diagnostic.",CONFLICT,HIGH,"A: lines 1401-1430; B: lines 1207-1222 conflicts with B lines 1492-1509; repo: due_diligence/report.py now blocks major.","Fix B internal inconsistency: remove legacy statement that major allows M4. State major requires YAML recalibration before M4."
"Deterministic model channel scope","A describes acquisition limited by salesforce capacity in current model.","B claims three commercial channels implemented: salesforce, advertising, third-party.",PARTIAL MATCH,MEDIUM,"A: lines 1539-1546; B: lines 1405-1412, 1559-1569; repo: model.py and ADR 0006 support B.","State A reflects older deterministic model; B supersedes with multichannel refinement."
"Operational cost floor","Cost capacity in steps/floor semantics appears in both.","Same methodology retained.",MATCH,LOW,"A: lines 1320-1334; B: lines 1126-1134, 1412; repo: ADR 0001.","Keep consistent."
"DCF and multiples methodology","DCF post-optimization, multiples as reference.","Same; B also labels multiples not market-calibrated.",MATCH,LOW,"A: lines 1680-1722, 1791-1806; B: lines 1429-1482, 1725-1730; repo: valuation.py, valuation_summary.json.","Keep B wording that multiples are reference only."
"Unit economics reported values","A reports LTV USD 11,937 and LTV/CAC 33.2x.","B reports LTV USD 5,360 and LTV/CAC 14.93x.",CONFLICT,MEDIUM,"A: lines 1810-1818; B: lines 1725-1739; repo artifact outputs/executions/run_20260622-230645_a8cf74ae/valuation_summary.json supports B.","Update/annotate A as obsolete; use B values in current paper."
"Stochastic objective","A describes expected VAN / robustness evaluation and Monte Carlo-style ex-post; no CVaR objective.","B describes SAA + LHS + CVaR_5%(VAN) + epsilon E[VAN].",CONFLICT,HIGH,"A: lines 1617-1664, 1869-1892; B: lines 1514-1597; repo: stochastic/model.py, defaults.py, ADR 0009 support B.","Treat B as current; mark A stochastic section as prior prototype."
